bikeid;rental_start_date;rental_end_date;duration;fare_(in_cents);starting_location;ending_location;rough_distance_(km);start_latitude;start_longitude;end_latitude;end_longitude
1292;2021-12-30 20:54:00;2021-12-30 21:09:00;15.0;200;37.866712,32.4246333;37.8574104309082,32.4311408996582;1.181573832;37.866712;32.4246333;37.8574104309082;32.4311408996582
1296;2021-12-30 20:39:00;2021-12-30 21:06:00;27.0;200;37.8667067,32.4246436;37.857608795166016,32.43090057373047;1.151142239;37.8667067;32.4246436;37.857608795166016;32.43090057373047
1296;2021-12-30 19:35:00;2021-12-30 20:34:00;59.0;200;37.8835687,32.4864717;37.866729736328125,32.42457962036133;5.746009738;37.8835687;32.4864717;37.866729736328125;32.42457962036133
1288;2021-12-30 19:34:00;2021-12-30 20:39:00;65.0;200;37.8835317,32.486385;37.866729736328125,32.424591064453125;5.736526373;37.8835317;32.486385;37.866729736328125;32.424591064453125
1100;2021-12-30 14:27:00;2021-12-30 14:27:00;0.0;0;38.0225974907104,32.512526996489676;38.022560119628906,32.512489318847656;0.005306659;38.0225974907104;32.512526996489676;38.022560119628906;32.512489318847656
1026;2021-12-30 14:26:00;2021-12-30 14:42:00;16.0;200;38.02255893181574,32.51253254338981;38.02252960205078,32.51251983642578;0.003446035;38.02255893181574;32.51253254338981;38.02252960205078;32.51251983642578
1201;2021-12-30 14:19:00;2021-12-30 14:47:00;28.0;200;37.9482439,32.4937606;37.9481315612793,32.49386978149414;0.015738176;37.9482439;32.4937606;37.9481315612793;32.49386978149414
1253;2021-12-30 14:01:00;2021-12-30 14:27:00;26.0;200;37.94732,32.5218029;37.94729995727539,32.52207946777344;0.024353233;37.94732;32.5218029;37.94729995727539;32.52207946777344
1236;2021-12-29 18:42:00;2021-12-29 19:56:00;74.0;350;38.01375462692105,32.521245335434024;38.01377868652344,32.521148681640625;0.008880066;38.01375462692105;32.521245335434024;38.01377868652344;32.521148681640625
1104;2021-12-29 18:42:00;2021-12-29 19:55:00;73.0;350;38.013612132590524,32.5211456789303;38.01377868652344,32.52119064331055;0.018934246;38.013612132590524;32.5211456789303;38.01377868652344;32.52119064331055
1124;2021-12-29 15:20:00;2021-12-29 15:35:00;15.0;200;37.9114452,32.5011847;37.90428161621094,32.49549865722656;0.939868161;37.9114452;32.5011847;37.90428161621094;32.49549865722656
1024;2021-12-29 15:15:00;2021-12-29 15:20:00;5.0;50;37.9114426,32.5012339;37.911441802978516,32.50096893310547;0.023245318;37.9114426;32.5012339;37.911441802978516;32.50096893310547
1104;2021-12-29 14:28:00;2021-12-29 15:20:00;52.0;200;38.022523,32.5125658;38.01383972167969,32.52153015136719;1.244562588;38.022523;32.5125658;38.01383972167969;32.52153015136719
1020;2021-12-29 14:24:00;2021-12-29 15:21:00;57.0;200;38.0224989,32.512549;38.01361846923828,32.52141189575195;1.256134002;38.0224989;32.512549;38.01361846923828;32.52141189575195
1236;2021-12-29 14:22:00;2021-12-29 15:20:00;58.0;200;38.0225702,32.5125315;38.01367950439453,32.5211181640625;1.242230896;38.0225702;32.5125315;38.01367950439453;32.5211181640625
1319;2021-12-29 13:04:00;2021-12-29 13:11:00;7.0;50;38.0225613,32.5124056;38.01369094848633,32.52111053466797;1.246741301;38.0225613;32.5124056;38.01369094848633;32.52111053466797
1295;2021-12-28 11:58:00;2021-12-28 12:15:00;17.0;200;37.928988,32.5096552;37.947418212890625,32.52199935913086;2.317695797;37.928988;32.5096552;37.947418212890625;32.52199935913086
1047;2021-12-27 17:28:00;2021-12-27 17:40:00;12.0;200;37.87313829762126,32.48174931443011;37.877708435058594,32.48311996459961;0.522222158;37.87313829762126;32.48174931443011;37.877708435058594;32.48311996459961
1281;2021-12-26 19:32:00;2021-12-26 19:40:00;8.0;50;37.8720829,32.4988502;37.87213134765625,32.49871826171875;0.012772597;37.8720829;32.4988502;37.87213134765625;32.49871826171875
1305;2021-12-26 17:48:00;2021-12-26 18:31:00;43.0;200;37.88009868552501,32.45293791037336;37.880088806152344,32.45307159423828;0.011784196;37.88009868552501;32.45293791037336;37.880088806152344;32.45307159423828
1214;2021-12-24 16:25:00;2021-12-24 17:15:00;50.0;200;37.8628801,32.5432678;37.86267852783203,32.543190002441406;0.023431211;37.8628801;32.5432678;37.86267852783203;32.543190002441406
1128;2021-12-22 16:48:00;2021-12-22 17:57:00;69.0;200;37.9476447,32.5220657;37.94744873046875,32.522090911865234;0.021902671;37.9476447;32.5220657;37.94744873046875;32.522090911865234
1128;2021-12-22 13:25:00;2021-12-22 14:28:00;63.0;200;37.947393,32.5221006;37.947540283203125,32.52206039428711;0.016752306;37.947393;32.5221006;37.947540283203125;32.52206039428711
1203;2021-12-20 01:15:00;2021-12-20 02:48:00;93.0;350;37.86532248706993,32.53565549071704;37.86542892456055,32.53601837158203;0.033982502;37.86532248706993;32.53565549071704;37.86542892456055;32.53601837158203
1214;2021-12-20 00:56:00;2021-12-20 02:34:00;98.0;350;37.8584284,32.5429777;37.862831115722656,32.543128967285156;0.489739728;37.8584284;32.5429777;37.862831115722656;32.543128967285156
1096;2021-12-20 00:53:00;2021-12-20 03:17:00;144.0;500;37.8583983,32.5430253;37.86988067626953,32.531429290771484;1.63291248;37.8583983;32.5430253;37.86988067626953;32.531429290771484
1189;2021-12-20 00:51:00;2021-12-20 02:34:00;103.0;350;37.85840721808039,32.542809739070876;37.8627815246582,32.542991638183594;0.486662759;37.85840721808039;32.542809739070876;37.8627815246582;32.542991638183594
