bikeid;rental_start_date;rental_end_date;duration;fare_(in_cents);starting_location;ending_location;rough_distance_(km);start_latitude;start_longitude;end_latitude;end_longitude
1272;2021-10-30 21:58:00;2021-10-30 22:03:00;5.0;50;38.0225067,32.5125617;38.022491455078125,32.51253890991211;0.00261894;38.0225067;32.5125617;38.022491455078125;32.51253890991211
1303;2021-10-30 21:52:00;2021-10-30 21:56:00;4.0;50;38.0225175,32.5125563;38.022499084472656,32.51253890991211;0.00255217;38.0225175;32.5125563;38.022499084472656;32.51253890991211
1195;2021-10-30 21:51:00;2021-10-30 21:52:00;1.0;0;38.0225206,32.5125655;38.02260971069336,32.51258850097656;0.010111422;38.0225206;32.5125655;38.02260971069336;32.51258850097656
1129;2021-10-30 20:57:00;2021-10-30 21:04:00;7.0;50;38.0137899,32.5211889;38.00947189331055,32.52259826660156;0.495762478;38.0137899;32.5211889;38.00947189331055;32.52259826660156
1023;2021-10-30 20:41:00;2021-10-30 23:11:00;150.0;500;37.855973,32.4706341;37.8627815246582,32.54307174682617;6.404.246.814;37.855973;32.4706341;37.8627815246582;32.54307174682617
1131;2021-10-30 20:17:00;2021-10-30 20:21:00;4.0;50;37.947419,32.5220608;37.947288513183594,32.5224609375;0.037968076;37.947419;32.5220608;37.947288513183594;32.5224609375
1060;2021-10-30 19:10:00;2021-10-30 19:18:00;8.0;50;38.0225401,32.5125876;38.01396942138672,32.521240234375;121.769.127;38.0225401;32.5125876;38.01396942138672;32.521240234375
1151;2021-10-30 19:09:00;2021-10-30 19:18:00;9.0;50;38.02255137546884,32.51252475320706;38.01382064819336,32.52117156982422;1.231.356.315;38.02255137546884;32.51252475320706;38.01382064819336;32.52117156982422
1037;2021-10-30 18:56:00;2021-10-30 19:33:00;37.0;200;37.8723291,32.4941676;37.87063980102539,32.515079498291016;1.845.151.809;37.8723291;32.4941676;37.87063980102539;32.515079498291016
1043;2021-10-30 18:42:00;2021-10-30 18:55:00;13.0;200;37.8722383,32.4942;37.872310638427734,32.4942512512207;0.009216173;37.8722383;32.4942;37.872310638427734;32.4942512512207
1138;2021-10-30 18:33:00;2021-10-30 19:00:00;27.0;200;37.88354946303915,32.4864576850389;37.873138427734375,32.4818115234375;122.737.581;37.88354946303915;32.4864576850389;37.873138427734375;32.4818115234375
1121;2021-10-30 18:32:00;2021-10-30 18:52:00;20.0;200;37.8834745,32.4863973;37.87289810180664,32.48168182373047;1.246.740.386;37.8834745;32.4863973;37.87289810180664;32.48168182373047
1238;2021-10-30 18:26:00;2021-10-30 18:54:00;28.0;200;37.8844093,32.4576349;37.863380432128906,32.470211029052734;2.585.757.701;37.8844093;32.4576349;37.863380432128906;32.470211029052734
1276;2021-10-30 18:24:00;2021-10-30 18:58:00;34.0;200;37.9460578,32.5015856;37.97916030883789,32.51713943481445;3.925.280.477;37.9460578;32.5015856;37.97916030883789;32.51713943481445
1154;2021-10-30 18:06:00;2021-10-30 18:58:00;52.0;200;37.9460374,32.5015917;37.979061126708984,32.5172004699707;3.918.746.522;37.9460374;32.5015917;37.979061126708984;32.5172004699707
1128;2021-10-30 17:58:00;2021-10-30 18:00:00;2.0;50;37.9460674,32.5016342;37.94601821899414,32.50156021118164;0.00848522;37.9460674;32.5016342;37.94601821899414;32.50156021118164
1154;2021-10-30 17:55:00;2021-10-30 18:03:00;8.0;50;37.9460502,32.5015708;37.9460374,32.5015917;0.002320436;37.9460502;32.5015708;37.9460374;32.5015917
1135;2021-10-30 17:35:00;2021-10-30 17:37:00;2.0;50;37.85372078422257,32.4232670199428;37.85361862182617,32.42327880859375;0.011406993;37.85372078422257;32.4232670199428;37.85361862182617;32.42327880859375
1143;2021-10-30 17:33:00;2021-10-30 17:39:00;6.0;50;37.85367491088271,32.42331447306518;37.85361862182617,32.423309326171875;0.006275349;37.85367491088271;32.42331447306518;37.85361862182617;32.423309326171875
1106;2021-10-30 17:31:00;2021-10-30 17:32:00;1.0;0;37.9791063,32.5171906;37.97911834716797,32.5171012878418;0.007941802;37.9791063;32.5171906;37.97911834716797;32.5171012878418
1301;2021-10-30 17:26:00;2021-10-30 18:22:00;56.0;200;37.947419,32.5220608;37.858421325683594,32.542911529541016;1.456.173.989;37.947419;32.5220608;37.858421325683594;32.542911529541016
1131;2021-10-30 17:20:00;2021-10-30 17:29:00;9.0;50;37.9497689,32.5133115;37.94733810424805,32.522029876708984;0.810841114;37.9497689;32.5133115;37.94733810424805;32.522029876708984
1281;2021-10-30 17:20:00;2021-10-30 17:29:00;9.0;50;37.9498283,32.51341;37.947509765625,32.52204132080078;0.799535226;37.9498283;32.51341;37.947509765625;32.52204132080078
1063;2021-10-30 17:12:00;2021-10-30 17:43:00;31.0;200;37.8926683,32.47805;37.899688720703125,32.490108489990234;1.314.896;37.8926683;32.47805;37.899688720703125;32.490108489990234
1096;2021-10-30 17:08:00;2021-10-30 17:32:00;24.0;200;37.8706717,32.514995;37.89971160888672,32.490020751953125;390.265.647;37.8706717;32.514995;37.89971160888672;32.490020751953125
1131;2021-10-30 17:05:00;2021-10-30 17:10:00;5.0;50;37.9473979,32.5221107;37.949798583984375,32.51327133178711;0.819754104;37.9473979;32.5221107;37.949798583984375;32.51327133178711
1097;2021-10-30 17:03:00;2021-10-30 17:05:00;2.0;50;37.9474267,32.5221083;37.947479248046875,32.52214050292969;0.006489607;37.9474267;32.5221083;37.947479248046875;32.52214050292969
1055;2021-10-30 17:00:00;2021-10-30 17:30:00;30.0;200;37.94823897712723,32.493755683338506;37.979061126708984,32.51716995239258;3.994.932.862;37.94823897712723;32.493755683338506;37.979061126708984;32.51716995239258
1281;2021-10-30 17:00:00;2021-10-30 17:13:00;13.0;200;37.9482316,32.4937562;37.94977951049805,32.51327133178711;1.719.793.509;37.9482316;32.4937562;37.94977951049805;32.51327133178711
1106;2021-10-30 16:57:00;2021-10-30 17:30:00;33.0;200;37.9482213,32.4937773;37.97911834716797,32.5171012878418;3.998.026.108;37.9482213;32.4937773;37.97911834716797;32.5171012878418
1215;2021-10-30 16:57:00;2021-10-30 17:31:00;34.0;200;37.9482609,32.4937503;37.97901916503906,32.517189025878906;3.989.944.178;37.9482609;32.4937503;37.97901916503906;32.517189025878906
1281;2021-10-30 16:55:00;2021-10-30 16:58:00;3.0;50;37.9481796,32.4937444;37.94831085205078,32.49374008178711;0.014599473;37.9481796;32.4937444;37.94831085205078;32.49374008178711
1085;2021-10-30 16:55:00;2021-10-30 16:59:00;4.0;50;37.94824727951977,32.49377939638618;37.9482307434082,32.493778228759766;0.00184158;37.94824727951977;32.49377939638618;37.9482307434082;32.493778228759766
1254;2021-10-30 16:54:00;2021-10-30 17:13:00;19.0;200;37.8535577,32.4232614;37.864261627197266,32.453468322753906;2.906.750.606;37.8535577;32.4232614;37.864261627197266;32.453468322753906
